ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps_ttm,total_mv,circ_mv,mom_1d,mom_5d,mom_10d,mom_20d,mom_60d,ma_5_ratio,ma_5_slope,ma_10_ratio,ma_10_slope,ma_20_ratio,ma_20_slope,ma_60_ratio,ma_60_slope,macd,macd_signal,macd_hist,rsi_14,kdj_k,kdj_d,kdj_j,boll_upper,boll_lower,boll_width,boll_position,amplitude,body_ratio,upper_shadow,lower_shadow,close_to_high_20d,close_to_low_20d,close_to_high_60d,close_to_low_60d,bbi,bbi_bull,vol_ma5_ratio,amt_ma5_ratio,fwd_ret_1d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
920128.BJ,2026-02-04,27.88,28.44,27.64,27.88,28.0,-0.12,-0.4286,5227.21,14654.214,1.3671,2.1511,0.71,47.1845,74.7562,4.3905,3.7988,226357.72,106599.18,-0.004285714285714337,-0.03093500173792152,-0.05651438240270734,-0.05874409182984475,-0.09597924773022048,0.9995697691094222,-0.04831445339156559,0.9748251748251747,-0.043638187594047806,0.94585425430859,-0.006287399915718583,0.9860823739544097,-0.009198906644238836,-0.1773952327088395,0.14374801673304058,-0.3211432494418801,27.5922664564293,14.946612329822905,14.498869630542599,15.842097728383518,1.1395718055579667,0.9749188687605412,0.16465293679742535,0.1523272628637023,0.028694404591104762,0.0,0.020086083213773396,0.008608321377331364,0.8698907956318254,1.020871475649945,0.8581101877500769,1.0714834742505766,28.535104166666667,0,0.72922028878028,0.7285253944613586,-0.00968436154949781,-0.0053802008608321295,0.04375896700143489,-0.011836441893830596
920128.BJ,2026-02-05,28.0,28.2,27.55,27.61,27.88,-0.27,-0.9684,4980.7,13873.426,1.3027,2.0497,0.69,46.7275,74.0323,4.348,3.762,224165.59,105566.835,-0.00968436154949781,-0.027816901408450723,-0.06533513879485442,-0.07997334221926033,-0.09475409836065574,0.9955289536309222,-0.04628610729023386,0.9719435350441792,-0.043599757592081456,0.9405232320479628,-0.013856929304466026,0.9781992536255846,-0.009787985452504255,-0.24262408903315702,0.06647359557980105,-0.30909768461295806,21.184918677578338,13.448728765232744,14.148822675439314,12.048540944819603,1.1510683139290947,0.9754076005946287,0.17566071333446592,0.1399994278051242,0.02354219485693584,-0.014125316914161556,0.007243752263672557,0.0021731256791017286,0.8614664586583464,1.0109849871841816,0.8497999384425976,1.0611068408916218,28.423541666666665,0,0.7374636946417318,0.7357002749524414,0.010865628395508864,0.009416877942774349,0.03223469757334296,-0.009416877942774238
920128.BJ,2026-02-06,27.64,28.59,27.64,27.91,27.61,0.3,1.0866,7057.99,19892.06,1.846,2.9045,1.05,47.2353,74.8367,4.3952,3.8029,226601.29,106713.885,0.010865628395508864,0.011231884057971042,-0.06935645215071684,-0.047765267826680224,-0.07244931871053506,1.0041013095409412,-0.02817984756310743,0.9897514096244547,-0.0401974132062628,0.9530150925356825,-0.015712437192262896,0.9901025222604563,-0.008372322088155637,-0.26703274753586825,-0.0002276730433328278,-0.26680507449253543,21.607142316964314,18.76974069739085,15.689128682756495,24.930964726659564,1.139230552527231,0.959372098852203,0.17985845367502803,0.2258881928356276,0.03403797921891793,0.00967395198853456,0.024364027230383365,0.0,0.870826833073323,1.0219699743683632,0.8590335487842412,1.0726364335126826,28.341145833333332,0,1.0855560244907199,1.09448555471598,0.008599068434252954,-0.015048369759942726,-0.014690075241848843,-0.006091006807595889
920128.BJ,2026-02-09,28.09,28.25,27.86,28.15,27.91,0.24,0.8599,6691.39,18805.206,1.7501,2.7537,1.03,47.6414,75.4802,4.433,3.8356,228549.85,107631.525,0.008599068434252954,0.020667150108774512,-0.03264604810996574,-0.07248764415156517,-0.08365885416666663,1.008599068434253,-0.013711216340377641,1.001636777682892,-0.03186468703710066,0.9648341102275844,-0.015637915619359344,1.0001361937978528,-0.007814014699748073,-0.2639679330035172,-0.05297572503536971,-0.21099220796814747,27.001861493433765,26.238650593723833,19.205635986412275,40.30467980834695,1.1254854773555945,0.947409726907283,0.17807575044831156,0.2953252919356399,0.013854351687389008,0.002131438721136722,0.0035523978685613297,0.008170515097690957,0.8783151326053042,1.0307579641157085,0.8664204370575561,1.081860107609531,28.343229166666667,0,1.0582783032221597,1.0635789262217994,-0.008880994671403242,0.00603907637655432,-0.044049733570159844,-0.03836589698046178
920128.BJ,2026-02-10,28.1,28.18,27.88,27.9,28.15,-0.25,-0.8881,4913.24,13761.81,1.285,2.0219,0.78,47.2183,74.8099,4.3937,3.8016,226520.1,106675.65,-0.008880994671403242,-0.0035714285714286698,-0.042553191489361764,-0.10404624277456653,-0.07092907092907097,1.0003585514521334,-0.006412540078375661,0.9971408148677626,-0.02735773629506011,0.9616047425380849,-0.018570510435341303,0.9925058103685434,-0.00749101137480368,-0.27850156340385723,-0.09808089270906724,-0.18042067069479,31.86813088757397,29.339823216012334,22.58369839627896,42.85207285547908,1.1255181269971415,0.9543385038272315,0.17117962316991012,0.26674609530970717,0.010752688172043038,-0.0071684587813621095,0.0028673835125447417,0.0007168458781361854,0.8705148205928237,1.0216038081288905,0.8587257617728531,1.0722521137586472,28.319270833333334,0,0.8509092143441772,0.8496337843850831,-0.0060931899641576415,0.03046594982078865,-0.037275985663082434,-0.027956989247311714
920128.BJ,2026-02-11,27.86,27.97,27.61,27.73,27.9,-0.17,-0.6093,3807.48,10591.152,0.9958,1.5669,0.66,46.9306,74.354,4.3669,3.7784,225139.87,106025.655,-0.0060931899641576415,-0.0053802008608321295,-0.03614876607577333,-0.08178807947019862,-0.06412419844751938,0.9953338119167264,-0.00114728237487427,0.994762519730234,-0.025314685314685392,0.9598310863432618,-0.019863617858596916,0.9875707824352719,-0.006879233204237112,-0.3002757574374364,-0.1385198656547411,-0.1617558917826953,30.78556171762662,30.49738205855904,25.221592950372322,41.048960274932476,1.1278643236177806,0.9558356403201923,0.17202868329758828,0.25672671987396384,0.012982329606923889,-0.004688063469166931,0.003966822935448952,0.004327443202308006,0.8652106084243371,1.0153789820578543,0.8534933825792551,1.065718677940046,28.240729166666668,0,0.693509843064683,0.688419715475294,0.005048683736025961,0.04940497655968268,-0.009376126938334006,-0.058781103498016574
920128.BJ,2026-02-12,27.7,28.2,27.32,27.87,27.73,0.14,0.5049,6831.08,18978.407,1.7866,2.8111,1.24,47.1676,74.7294,4.3889,3.7975,226276.53,106560.945,0.005048683736025961,0.009416877942774349,-0.018661971830985835,-0.08412750575090366,-0.05236314178850732,0.9984952708512469,0.006418114949159781,1.001689249901161,-0.020558313091843528,0.9689700130378097,-0.020217332061588822,0.9934648288973384,-0.006093816429684762,-0.30274527404699114,-0.1713649473331911,-0.13138032671380004,25.909090084710783,34.91492125844045,28.452702386395032,47.839359002531296,1.1149416883649188,0.9491056743907323,0.16583601397418646,0.3068954944073423,0.031575170434158556,0.0060997488338716075,0.011840688912809412,0.013634732687477539,0.8695787831513262,1.0205053094104723,0.8578024007386889,1.0710991544965411,28.175520833333334,0,1.1656663656548985,1.1568159704230108,-0.013634732687477613,0.022604951560817987,-0.0025116612845353936,-0.05418012199497668
920128.BJ,2026-02-13,27.87,28.27,27.39,27.49,27.87,-0.38,-1.3635,4383.53,12156.114,1.1465,1.8039,0.75,46.5244,73.7105,4.3291,3.7457,223191.31,105108.015,-0.013634732687477613,-0.015048369759942726,-0.003985507246376918,-0.10804672290720319,-0.03780189009450474,0.9878539600402473,0.0011512447834218786,0.988422263771034,-0.013723890918117654,0.9613232619946847,-0.023560745748822165,0.980548355646446,-0.005451298970047369,-0.3315433822240621,-0.20340063431136532,-0.12814274791269678,29.305911541689554,27.96411413567253,28.2898396361542,27.312663134709197,1.1188718364982975,0.9615937873649253,0.1572780491333722,0.24419308834175782,0.03201164059658054,-0.013823208439432615,0.014550745725718392,0.0036376864314295334,0.8625666771258236,1.006590992310509,0.8461064943059402,1.0564950038431975,28.079895833333335,0,0.8231449461293017,0.81812316687043,0.030192797380865777,0.00036376864314302537,0.012731902510003668,-0.09712622771917057
920128.BJ,2026-02-24,27.8,28.44,27.63,28.32,27.49,0.83,3.0193,6637.5,18712.677,1.736,2.7315,1.25,47.9291,75.936,4.4598,3.8588,229930.08,108281.52,0.030192797380865777,0.00603907637655432,0.026831036983321344,-0.08909617240270185,-0.0010582010582010914,1.0164381595003948,-0.0017198136868503688,1.0155633651294556,-0.007756902931966958,0.995168233330405,-0.024626405264601026,1.010171869519467,-0.003955541607205237,-0.28411690422495894,-0.21954388829408406,-0.06457301593087489,41.239315005661524,44.88946171055294,33.82304699428712,67.02229114308459,1.0689917152678354,0.9407187367095656,0.12827297855826983,0.4621492678624962,0.028601694915254317,0.018361581920903938,0.004237288135593255,0.006002824858757122,0.8886099780357702,1.0369827901867448,0.8716528162511542,1.0883935434281322,28.115104166666665,1,1.248926064705942,1.260959342944812,0.015183615819209129,-0.04978813559322037,0.0010593220338983578,-0.09887005649717517
920128.BJ,2026-02-25,29.55,30.13,28.58,28.75,28.32,0.43,1.5184,19105.88,56140.524,4.997,7.8625,3.6,48.6569,77.089,4.5275,3.9174,233421.25,109925.625,0.015183615819209129,0.03046594982078865,0.02678571428571419,-0.061071195297191405,0.061669128508124116,1.025613584474886,0.005091430620294046,1.0282178748971782,-0.0006790564689063139,1.013608799887181,-0.02240297787275125,1.024492801824488,-0.0017075368780534728,-0.20941961344026083,-0.21751903332331946,0.008099419883058623,49.78902806530298,46.88953431843544,38.17854276900322,64.31151741729987,1.0392762379565064,0.9338715881304499,0.10540464982605663,0.6273766077726192,0.0539130434782609,-0.027826086956521764,0.020173913043478202,0.005913043478260929,0.9513567174056916,1.0527279384840718,0.8848876577408433,1.1049192928516527,28.222291666666667,1,2.3433901289498196,2.40783437314723,0.012173913043478368,-0.06573913043478263,-0.020521739130434757,-0.1029565217391305
