symbol,ts_code,name,data_asof,close,pct_chg,m_DIF,m_DEA,m_HIST,m_rel_max_pct,m_rel_dif_pct,m_dif_abs_pctile,w_DIF,w_DEA,w_HIST,w_bull,w_x_1,w_x_2,w_x_3,w_x_4,w_x_8,m_near_3,m_near_5,m_near_8,m_zero_side
688027,688027.SH,国盾量子,2026-07-14,429.85,2.1,87.2657,90.2734,-6.0155,21.001,20.301,0.86,-18.814,4.1015,-45.831,False,,,,,,False,False,False,above
688036,688036.SH,传音控股,2026-07-14,62.4,-3.15,-11.6672,-11.0834,-1.1676,18.697,18.697,0.651,-1.1124,-2.6327,3.0406,True,,,,,,False,False,False,below
688041,688041.SH,海光信息,2026-07-14,340.85,-1.2,58.3418,46.1066,24.4705,17.117,17.117,1.0,28.5675,24.0112,9.1125,True,,,,,,False,False,False,above
688047,688047.SH,龙芯中科,2026-07-14,133.84,-3.36,8.6674,9.6812,-2.0276,7.233,6.476,0.721,-1.2304,0.7522,-3.9652,False,,,,,,False,False,True,above
688065,688065.SH,凯赛生物,2026-07-14,42.93,-0.19,-1.3301,-0.9141,-0.832,3.098,3.098,0.349,-1.555,-1.4185,-0.2729,False,,,2.0,2.0,2.0,False,True,True,below
688072,688072.SH,拓荆科技,2026-07-14,850.01,0.59,128.0963,61.1754,133.8418,15.07,15.07,1.0,120.8884,83.1565,75.4638,True,,,,,,False,False,False,above
688082,688082.SH,盛美上海,2026-07-14,387.88,-2.8,53.7229,28.9342,49.5776,13.85,13.85,1.0,58.9704,37.1304,43.6801,True,,,,,,False,False,False,above
688099,688099.SH,晶晨股份,2026-07-14,98.28,0.21,7.4883,6.1142,2.7481,7.619,7.619,0.977,2.6023,2.9037,-0.6028,False,,,,,,False,False,True,above
688111,688111.SH,金山办公,2026-07-14,222.63,-1.73,-16.2925,-5.6515,-21.2819,7.318,7.318,0.698,-20.043,-19.4665,-1.1531,False,,,,,,False,False,True,below
688114,688114.SH,华大智造,2026-07-14,52.04,-1.06,-5.3303,-4.6298,-1.4009,10.243,10.243,0.442,-2.1001,-2.9875,1.7748,True,,,,,5.0,False,False,False,below
688120,688120.SH,华海清科,2026-07-14,309.0,-5.07,21.9192,1.337,41.1645,7.094,7.094,0.93,31.9184,23.4844,16.868,True,,,,,,False,False,True,above
688122,688122.SH,西部超导,2026-07-14,50.92,-3.45,2.3117,2.8602,-1.0968,5.617,4.54,0.163,-4.908,-3.1354,-3.5451,False,,,,,,False,False,True,above
