ts_code,name,industry,concept
688630.SH,芯碁微装,专用机械,
688350.SH,富淼科技,化工原料,
688619.SH,罗普特,软件服务,
688680.SH,海优新材,塑料,
688679.SH,通源环境,环境保护,
688686.SH,奥普特,电器仪表,
688678.SH,福立旺,元器件,
688616.SH,西力科技,电器仪表,
688618.SH,三旺通信,通信设备,
688628.SH,优利德,电器仪表,
688689.SH,银河微电,半导体,
688067.SH,爱威科技,医疗保健,
688131.SH,皓元医药,化学制药,
688687.SH,凯因科技,生物制药,
688063.SH,派能科技,电气设备,
688305.SH,科德数控,机床制造,
688183.SH,生益电子,元器件,首发新股
688606.SH,奥泰生物,医疗保健,
688082.SH,盛美上海,半导体,
688171.SH,纬德信息,软件服务,
688317.SH,之江生物,医疗保健,
688633.SH,星球石墨,专用机械,
688626.SH,翔宇医疗,医疗保健,
688981.SH,中芯国际,半导体,集成电路概念 / 转融券标的
688636.SH,智明达,元器件,
688329.SH,艾隆科技,专用机械,
688661.SH,和林微纳,元器件,
688075.SH,安旭生物,医疗保健,
688609.SH,九联科技,家用电器,
688315.SH,诺禾致源,医疗保健,
688667.SH,菱电电控,汽车配件,
688625.SH,呈和科技,化工原料,
688468.SH,科美诊断,医疗保健,
688345.SH,博力威,电气设备,
688314.SH,康拓医疗,医疗保健,
688733.SH,壹石通,矿物制品,
688639.SH,华恒生物,化学制药,
688565.SH,力源科技,环境保护,
688662.SH,富信科技,元器件,
688226.SH,威腾电气,电气设备,
688260.SH,昀冢科技,元器件,
688161.SH,威高骨科,医疗保健,
688789.SH,宏华数科,专用机械,
688425.SH,铁建重工,工程机械,
688683.SH,莱尔科技,元器件,
688533.SH,上声电子,汽车配件,
688076.SH,ST诺泰,生物制药,
688682.SH,霍莱沃,软件服务,
688690.SH,纳微科技,化工原料,
688148.SH,芳源股份,电气设备,
688517.SH,金冠电气,电气设备,
688132.SH,邦彦技术,通信设备,
688269.SH,凯立新材,化工原料,
688456.SH,有研粉材,铜,
688660.SH,电气风电,电气设备,
688611.SH,杭州柯林,电气设备,
688613.SH,奥精医疗,医疗保健,
688584.SH,上海合晶,半导体,
688501.SH,青达环保,环境保护,
688147.SH,微导纳米,专用机械,
688280.SH,精进电动-W,汽车配件,
688663.SH,新风光,电气设备,
688217.SH,睿昂基因,医疗保健,
688395.SH,正弦电气,机械基件,
688112.SH,鼎阳科技,电器仪表,
688319.SH,欧林生物,生物制药,
688059.SH,华锐精密,机械基件,
688117.SH,圣诺生物,生物制药,
688239.SH,航宇科技,航空,
688793.SH,倍轻松,家用电器,
688799.SH,华纳药厂,化学制药,
688216.SH,气派科技,半导体,
688323.SH,瑞华泰,塑料,
688681.SH,科汇股份,电气设备,
688201.SH,ST信安,软件服务,
688113.SH,联测科技,专用机械,
688700.SH,东威科技,专用机械,
688509.SH,正元地信,软件服务,
688786.SH,悦安新材,小金属,
688685.SH,迈信林,航空,
688227.SH,品高股份,软件服务,
688182.SH,灿勤科技,通信设备,
688355.SH,明志科技,机械基件,
688728.SH,格科微,半导体,
688071.SH,华依科技,专用机械,
688601.SH,力芯微,半导体,
688087.SH,英科再生,环境保护,
688655.SH,迅捷兴,元器件,
688232.SH,新点软件,软件服务,
688766.SH,普冉股份,半导体,
688778.SH,厦钨新能,电气设备,
688502.SH,茂莱光学,元器件,
688597.SH,煜邦电力,电器仪表,
688091.SH,上海谊众,化学制药,
688359.SH,三孚新科,化工原料,
688276.SH,百克生物,生物制药,
688538.SH,和辉光电-U,半导体,
688621.SH,阳光诺和,医疗保健,
688246.SH,嘉和美康,软件服务,
688367.SH,工大高科,运输设备,
688038.SH,中科通达,软件服务,
688303.SH,大全能源,电气设备,
688306.SH,均普智能,专用机械,
688718.SH,唯赛勃,塑料,
688110.SH,东芯股份,半导体,
688376.SH,美埃科技,专用机械,
688701.SH,卓锦股份,环境保护,
688716.SH,中研股份,化工原料,
688798.SH,艾为电子,半导体,
688385.SH,复旦微电,半导体,
688296.SH,和达科技,软件服务,
688722.SH,同益中,化纤,
688767.SH,博拓生物,医疗保健,
688776.SH,国光电气,元器件,
688511.SH,天微电子,元器件,
688120.SH,华海清科,半导体,
688768.SH,容知日新,电器仪表,
688486.SH,龙迅股份,半导体,
688670.SH,金迪克,生物制药,
688775.SH,影石创新,IT设备,
688257.SH,新锐股份,机械基件,
688772.SH,珠海冠宇,电气设备,
688211.SH,中科微至,专用机械,
688259.SH,创耀科技,半导体,
688255.SH,凯尔达,机械基件,
688553.SH,汇宇制药-W,化学制药,
688327.SH,云从科技-UW,软件服务,
688114.SH,华大智造,医疗保健,
688343.SH,云天励飞-U,软件服务,
688220.SH,翱捷科技-U,半导体,
688103.SH,国力电子,元器件,
688282.SH,理工导航,通信设备,
688062.SH,迈威生物-U,生物制药,
688265.SH,南模生物,医疗保健,
688800.SH,瑞可达,元器件,
688119.SH,中钢洛耐,其他建材,
688285.SH,高铁电气,运输设备,
688711.SH,宏微科技,半导体,
688236.SH,春立医疗,医疗保健,
688102.SH,斯瑞新材,铜,
688105.SH,诺唯赞,生物制药,
688212.SH,澳华内镜,医疗保健,
688151.SH,华强科技,医疗保健,
688162.SH,巨一科技,专用机械,
688210.SH,统联精密,元器件,
688032.SH,禾迈股份,电气设备,
688187.SH,时代电气,运输设备,
688262.SH,国芯科技,半导体,
688737.SH,中自科技,汽车配件,
688049.SH,炬芯科技,半导体,
688697.SH,纽威数控,机床制造,
688707.SH,振华新材,电气设备,
688272.SH,富吉瑞,元器件,
688121.SH,卓然股份,专用机械,
688235.SH,百济神州,生物制药,
688167.SH,炬光科技,元器件,
688192.SH,迪哲医药-U,生物制药,
688225.SH,亚信安全,软件服务,
688197.SH,首药控股-U,化学制药,
688349.SH,三一重能,电气设备,
688230.SH,芯导科技,半导体,
688190.SH,云路股份,矿物制品,
688382.SH,益方生物-U,生物制药,
688281.SH,华秦科技,航空,
688045.SH,必易微,半导体,
688107.SH,安路科技,半导体,
688332.SH,中科蓝讯,半导体,
688249.SH,晶合集成,半导体,
688175.SH,高凌信息,通信设备,
688237.SH,超卓航科,航空,
688247.SH,宣泰医药,化学制药,
688302.SH,海创药业-U,生物制药,
688173.SH,希荻微,半导体,
688176.SH,亚虹医药-U,化学制药,
688053.SH,ST思科瑞,元器件,
688052.SH,纳芯微,半导体,
688234.SH,天岳先进,半导体,
688283.SH,坤恒顺维,电器仪表,
688238.SH,和元生物,医疗保健,
688248.SH,南网科技,电气设备,
688209.SH,英集芯,半导体,
688337.SH,普源精电,电器仪表,
688150.SH,莱特光电,元器件,
688253.SH,英诺特,医疗保健,
688267.SH,中触媒,化工原料,
688193.SH,仁度生物,医疗保健,
688261.SH,东微半导,半导体,
688153.SH,唯捷创芯,半导体,
688401.SH,路维光电,半导体,
688331.SH,荣昌生物,生物制药,
688292.SH,浩瀚深度,通信设备,
688207.SH,格灵深瞳,软件服务,
688279.SH,峰岹科技,半导体,
688400.SH,凌云光,专用机械,
688362.SH,甬矽电子,半导体,
688320.SH,禾川科技,电器仪表,
688295.SH,中复神鹰,化纤,
688048.SH,长光华芯,半导体,
688380.SH,中微半导,半导体,
688325.SH,赛微微电,半导体,
688206.SH,概伦电子,半导体,
688729.SH,屹唐股份,半导体,
688522.SH,纳睿雷达,通信设备,
688170.SH,德龙激光,专用机械,
688213.SH,思特威-W,半导体,
688223.SH,晶科能源,电气设备,
688273.SH,麦澜德,医疗保健,
688472.SH,阿特斯,电气设备,
688047.SH,龙芯中科,半导体,
688231.SH,隆达股份,航空,
688479.SH,友车科技,软件服务,
688485.SH,九州一轨,运输设备,
688420.SH,美腾科技,专用机械,
688322.SH,奥比中光-W,元器件,
688270.SH,ST臻镭,半导体,
688251.SH,井松智能,专用机械,
688348.SH,昱能科技,电气设备,
688370.SH,丛麟科技,环境保护,
688252.SH,天德钰,半导体,
688503.SH,聚和材料,电气设备,
688125.SH,安达智能,专用机械,
688326.SH,经纬恒润-W,汽车配件,
688244.SH,永信至诚,软件服务,
688351.SH,微电生理,医疗保健,
688115.SH,思林杰,电器仪表,
688046.SH,药康生物,生物制药,
688455.SH,科捷智能,机械基件,
688290.SH,景业智能,专用机械,
688353.SH,华盛锂电,化工原料,
688072.SH,拓荆科技,半导体,
688428.SH,诺诚健华,生物制药,
688297.SH,中无人机,航空,
688375.SH,国博电子,元器件,
688203.SH,海正生材,塑料,
688615.SH,合合信息,软件服务,
688371.SH,菲沃泰,元器件,
688426.SH,康为世纪,生物制药,
688205.SH,德科立,通信设备,
688035.SH,德邦科技,半导体,
688416.SH,恒烁股份,半导体,
688130.SH,晶华微,半导体,
688410.SH,山外山,医疗保健,
688403.SH,汇成股份,半导体,
688373.SH,盟科药业-U,化学制药,
688041.SH,海光信息,半导体,
688287.SH,*ST观典,航空,
688291.SH,金橙子,软件服务,
688506.SH,百利天恒,化学制药,
688293.SH,奥浦迈,生物制药,
688381.SH,帝奥微,半导体,
688439.SH,振华风光,元器件,
688657.SH,浩辰软件,软件服务,
688073.SH,毕得医药,化学制药,
688031.SH,星环科技-U,软件服务,
688419.SH,耐科装备,半导体,
688409.SH,富创精密,半导体,
688391.SH,钜泉科技,半导体,
688475.SH,萤石网络,IT设备,
688184.SH,ST帕瓦,电气设备,
688489.SH,三未信安,IT设备,
688496.SH,ST清越,元器件,
688061.SH,灿瑞科技,半导体,
688361.SH,中科飞测,半导体,
688143.SH,长盈通,通信设备,
688152.SH,麒麟信安,软件服务,
688387.SH,信科移动-U,通信设备,
688459.SH,哈铁科技,运输设备,
688448.SH,磁谷科技,专用机械,
688702.SH,盛科通信-U,半导体,
688432.SH,有研硅,半导体,
688137.SH,近岸蛋白,生物制药,
688435.SH,英方软件,软件服务,
688372.SH,伟测科技,半导体,
688392.SH,骄成超声,专用机械,
688480.SH,赛恩斯,环境保护,
688271.SH,联影医疗,医疗保健,
688084.SH,晶品特装,专用机械,
688275.SH,万润新能,电气设备,
688549.SH,中巨芯-U,元器件,
688498.SH,源杰科技,半导体,
688709.SH,成都华微,半导体,
688141.SH,杰华特,半导体,
688525.SH,佰维存储,半导体,
688172.SH,燕东微,半导体,
688478.SH,晶升股份,半导体,
688512.SH,慧智微-U,半导体,
688352.SH,颀中科技,半导体,
688307.SH,中润光学,元器件,
688458.SH,美芯晟,半导体,
688562.SH,航天软件,软件服务,
688627.SH,精智达,专用机械,
688671.SH,碧兴物联,环境保护,
688620.SH,安凯微,半导体,
688535.SH,华海诚科,半导体,
688693.SH,锴威特,半导体,
688708.SH,佳驰科技,化工原料,
688443.SH,智翔金泰-U,生物制药,
688484.SH,南芯科技,半导体,
688531.SH,日联科技,专用机械,
688570.SH,天玛智控,专用机械,
688623.SH,双元科技,专用机械,
688610.SH,埃科光电,电器仪表,
688523.SH,航天环宇,航空,
688631.SH,莱斯信息,软件服务,
688146.SH,中船特气,半导体,
688612.SH,威迈斯,汽车配件,
688576.SH,西山科技,医疗保健,
688429.SH,时创能源,电气设备,
688563.SH,航材股份,航空,
688543.SH,国科军工,专用机械,
688646.SH,ST逸飞,专用机械,
688582.SH,芯动联科,元器件,
688433.SH,华曙高科,专用机械,
688593.SH,新相微,半导体,
688651.SH,盛邦安全,软件服务,
688573.SH,信宇人,专用机械,
688507.SH,索辰科技,软件服务,
688515.SH,裕太微-U,半导体,
688692.SH,达梦数据,软件服务,
688695.SH,中创股份,软件服务,
688759.SH,必贝特-U,生物制药,
688638.SH,誉辰智能,专用机械,
688592.SH,司南导航,通信设备,
688629.SH,华丰科技,元器件,
688552.SH,航天南湖,通信设备,
688648.SH,中邮科技,机床制造,
688539.SH,高华科技,电器仪表,
688334.SH,西高院,电气设备,
688450.SH,光格科技,电器仪表,
688717.SH,艾罗能源,电气设备,
688469.SH,芯联集成-U,半导体,
688591.SH,泰凌微,半导体,
688603.SH,天承科技,化工原料,
688720.SH,艾森股份,半导体,
688347.SH,华虹公司,半导体,
688652.SH,京仪装备,半导体,
688719.SH,爱科赛博,电气设备,
688691.SH,灿芯股份,半导体,
688653.SH,康希通信,半导体,
688548.SH,广钢气体,化工原料,
688449.SH,联芸科技,半导体,
688710.SH,益诺思,生物制药,
688530.SH,欧莱新材,半导体,
688765.SH,禾元生物-U,生物制药,
688758.SH,赛分科技,化工原料,
688545.SH,兴福电子,元器件,
688757.SH,胜科纳米,电器仪表,
688721.SH,龙图光罩,半导体,
688605.SH,先锋精科,半导体,
688583.SH,思看科技,电器仪表,
688726.SH,拉普拉斯,专用机械,
688796.SH,百奥赛图,生物制药,
688411.SH,海博思创,电气设备,
688750.SH,金天钛业,小金属,
688755.SH,汉邦科技,专用机械,
688783.SH,西安奕材-U,半导体,
688727.SH,恒坤新材,半导体,
688809.SH,强一股份,半导体,
688790.SH,昂瑞微-UW,半导体,
688805.SH,健信超导,医疗保健,
688807.SH,优迅股份,半导体,
688802.SH,沐曦股份-U,半导体,
688795.SH,摩尔线程-U,半导体,
688785.SH,恒运昌,半导体,
688712.SH,北芯生命,医疗保健,
688818.SH,电科蓝天,航空,
688816.SH,易思维,专用机械,
688781.SH,视涯科技-UW,元器件,
688813.SH,泰金新能,专用机械,
688811.SH,有研复材,小金属,
688820.SH,盛合晶微,半导体,
688808.SH,联讯仪器,电器仪表,
