ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_liquidity,total_score,sort_key,perilla_tag
920971.BJ,天马新材,化工原料,20220927,1347,827,43.19,0.42119118130964117,0.5337357954545454,0.4488426702448842,True,-0.17858501331304466,-0.6151653363740021,0.32870249897061576,0.8137292861352663,106.8618,10.0549,0.6795646916565901,45.38750806,96.45960741837968,4.906047279322854,8.3018,443.3441,94.90722500000001,8.691699999999999,19.6765,8.6575,16.9866,1,1.536,True,,0.33,0.44999999999999996,0.25,0.7200000000000001,0.2,0.38950000000000007,0.38950000000000007,C 价格战赛道
920599.BJ,同力股份,工程机械,20210222,1929,827,16.83,-0.12843086483687216,-0.16683168316831687,-0.16226978596316588,False,-0.34000000000000075,-0.3862745098039222,0.28554139908636245,0.44132665242295377,9.258,2.2277,0.5392986698911729,77.8429575,79.23246794921403,1.755277871825877,25.0141,0.7849,7.814774999999999,6.29825,20.9986,12.4082,54.6058,4,3.621,True,,0.47,0.35000000000000003,0.7000000000000001,0.0,0.1,0.3785,0.3785,C 低 moat
920839.BJ,万通液压,工程机械,20201109,2034,827,28.05,-0.1701183431952662,-0.23611111111111105,-0.34477925718290126,False,-0.5237691001697786,-0.5500848896434629,0.5293584972971548,0.6289636731145836,28.1842,4.884,0.6360338573155986,33.15789687,40.822298900846434,2.1718223700120918,20.1509,-23.3128,14.653075000000001,9.554425,28.1838,15.5615,36.9965,3,0.74,True,,0.6699999999999999,0.27,0.45,0.0,0.2,0.3785,0.3785,B 中 moat
920879.BJ,基康技术,电器仪表,20221220,1263,827,17.09,-0.0420403587443946,-0.22634676324128566,-0.21280515891294338,False,-0.5517964857067933,-0.5903488067138742,0.3786235853193234,0.5960569401327487,43.3115,5.4926,0.8137847642079806,34.32848031,34.375310014510276,1.68376723095526,13.4432,-17.1362,5.1183000000000005,9.899725,52.6252,21.0774,16.2315,3,0.992,True,,0.8300000000000001,0.27,0.25,0.0,0.1,0.3765,0.3765,A 高 moat
920418.BJ,苏轴股份,汽车配件,20200727,2139,827,23.15,-0.12476370510396984,-0.1303531179564238,-0.1425925925925926,False,-0.5171047142261145,-0.5684210526315789,0.2930070761516419,0.6583390794125139,25.7992,4.2058,0.6348246674727932,37.6163424,83.87834013422007,3.178011970979444,17.3332,-14.0931,-0.44720000000000004,0.683125,39.5603,16.9965,13.7412,3,1.644,True,,0.78,0.06999999999999999,0.45,0.0,0.2,0.36150000000000004,0.36150000000000004,B 中高 moat
920002.BJ,万达轴承,工程机械,20240530,736,489,65.8,-0.3285029084600469,-0.2729281767955801,-0.36104097883084096,False,-0.7841207349081365,-0.8098753280839894,-0.015901899672409958,0.9496375485270298,70.5052,5.6692,0.4662576687116564,41.91733399,151.10750920245397,14.035590184049079,8.855,-17.3945,0.8273999999999999,4.201075,30.8579,15.6918,7.937,3,1.411,True,,0.5,0.27,0.5,0.0,0.3,0.34750000000000003,0.34750000000000003,B 中 moat
920174.BJ,五新智能,工程机械,20210820,1750,817,36.98,-0.09517983851235623,-0.12369668246445509,-0.2615814696485623,False,-0.5505044366111584,-0.5710465540294154,0.5895211654866848,0.6966322779101424,35.5648,3.0066,0.7025703794369645,80.21142868999999,94.32371661077111,3.4272643818849446,11.8017,104.8484,12.241549999999998,29.8595,30.7461,12.8164,43.1622,2,1.948,True,,0.5,0.32,0.4,0.0,0.2,0.33,0.33,B 中 moat
920640.BJ,富士达,通信设备,20200727,2139,827,35.4,-0.08550762076982699,-0.12224150756260843,0.0936051899907322,False,-0.36785714285714244,-0.4899755501222489,0.2577051885846222,0.6581103589310953,85.2003,7.292,0.6239419588875453,66.455712,131.5158526662636,2.361796130592503,8.6435,2.2127,30.030874999999998,14.596975,30.4512,6.397,35.9126,4,2.267,True,,0.32999999999999996,0.55,0.25,0.0,0.2,0.3065,0.3065,B 中 moat
920261.BJ,一诺威,化工原料,20230403,1159,768,14.18,-0.09392971246006399,-0.11596009975062338,-0.04318488529014852,False,-0.21657458563535992,-0.37572815533980675,0.10960866432628014,0.48330360414237283,21.1715,2.5367,0.6588541666666666,41.28262367,33.64585520703125,1.5459404947916668,11.7244,15.8616,28.460774999999998,15.132125,6.8849,2.6444,48.8154,4,1.254,True,,0.18,0.52,0.45,0.0,0.1,0.28400000000000003,0.28400000000000003,C 价格战赛道
920491.BJ,奥迪威,元器件,20220614,1452,827,28.6,0.07518796992481214,0.1527609834744057,0.037735849056603765,True,-0.2739273927392746,-0.480154888673766,0.37492305522047986,0.625981731474048,47.9348,3.8719,0.8573155985489722,40.366949479999995,109.16196933736397,3.795140628778718,9.0443,-42.6645,-5.419549999999999,7.664625000000001,33.4131,9.1993,12.1056,3,2.303,True,,0.43,0.0,0.25,0.47,0.2,0.2695,0.2695,B 中 moat
920720.BJ,吉冈精密,机械基件,20211124,1654,827,11.25,-0.12109375,-0.14187643020594964,-0.19064748201438853,False,-0.5922435665096053,-0.6433512682551883,-0.012311102208953262,0.8131598569962489,51.8283,5.4534,0.5296251511487303,29.80027575,53.84638675211608,6.516274486094318,12.4253,-35.3009,0.49735000000000085,23.115175,20.7843,6.3153,43.9504,3,0.644,True,,0.32999999999999996,0.13999999999999996,0.5,0.0,0.3,0.264,0.264,C 低 moat
920571.BJ,国航远洋,水运,20221215,1268,827,9.72,-0.21739130434782605,-0.17557251908396931,-0.027999999999999914,False,-0.40110905730129387,-0.470588235294117,0.274337317633335,0.7111366187848629,74.5554,3.9138,0.6220095693779905,53.985604429999995,160.9386808464329,7.154039056831921,2.0435,289.6896,18.938900000000004,5.6301499999999995,29.4107,12.2727,69.3372,2,1.63,True,,0.22,0.35,0.35000000000000003,0.0,0.3,0.2535,0.2535,B 中 moat
920247.BJ,华密新材,橡胶,20221223,1260,827,18.08,-0.11718750000000011,-0.21116928446771388,-0.2833927863654381,False,-0.5249605885444024,-0.6060082872928177,0.35099208085218225,0.885216233145309,74.4913,7.213,0.6432889963724304,34.18078222,83.84238567110036,7.088498790810157,9.3135,25.6804,-0.3849,9.4656,32.3601,11.2144,27.3227,2,0.752,True,,0.5,0.0,0.35000000000000003,0.0,0.3,0.25,0.25,B 中 moat
