ts_code,name,industry,list_date,days_listed,n_days_data,close,ret_20d,ret_60d,ret_120d,above_ma60,dd_now,max_dd,ann_ret,vol_ann,rel_ret_20d,rel_ret_60d,rel_ret_120d,idx_ret_60d,pe_ttm,pb,pe_quantile,total_mv_yi,amount_mean_wan,turnover_mean,holder_latest,holder_change_4q,holder_n_quarters,attention_ratio,roe_ttm,netprofit_yoy_q,netprofit_yoy_mean_4q,or_yoy_mean_4q,gp_margin,np_margin,debt_ratio,n_positive_quarters,weight_idx,pass,reject_reason,s_quality,s_growth,s_value,s_momentum,s_attention,s_liquidity,total_score,sort_key,perilla_tag
920982.BJ,锦波生物,医疗保健,20230720,1140,758,123.8,-0.04053320933116333,-0.18904755666186301,-0.35372729171016914,False,-0.7856277056277055,-0.805108225108225,-0.008676421870624562,0.5718332298504332,-0.029014356140822706,-0.016123006367328663,-0.12913038285223344,-0.17292455029453435,26.304,6.9906,0.06596306068601583,142.45089092,169.5415741578628,1.5988725593667548,9933.0,0.1627063092590424,14,0.9561272950238945,38.0198,-28.2033,-21.0034,-1.8511999999999995,84.7018,36.5926,28.9118,0,4.77,True,,1.0,0.0,0.9,0.0,0.27999999999999997,0.1,0.513,0.513,A 高 moat
920493.BJ,并行科技,软件服务,20231101,1036,690,121.44,-0.04340291453328082,-0.14213054535179437,-0.28982456140350876,True,-0.5586247001526499,-0.628843497855637,0.42423699891678424,0.8729836717162432,-0.031884061342940195,0.030794004942739983,-0.06522765254557306,-0.17292455029453435,149.9432,13.4346,0.005405405405405406,73.57072615,312.6549686391884,7.243212898550724,11773.0,-0.30583726415094337,14,0.9199398518123277,3.0734,725.5458,418.8388,100.090975,19.1611,4.5831,75.8019,4,3.73,True,,0.0,0.9,0.7,0.25,0.8300000000000001,0.5,0.49800000000000005,0.49800000000000005,C 低 moat
920599.BJ,同力股份,工程机械,20210222,2018,889,18.22,0.06239067055393588,0.06487434248977197,-0.1020206998521439,True,-0.2854901960784324,-0.3862745098039222,0.29057830874203194,0.4310791412869436,0.0739095237442765,0.23779889278430633,0.1225762090057918,-0.17292455029453435,9.1233,2.2935,0.5185601799775028,84.27205500000001,77.64397448695162,1.6986169853768283,12288.0,0.0964575711608815,15,0.8755598042187313,25.0141,26.26,14.784850000000002,6.828950000000001,20.722,11.4104,56.8944,4,4.356,True,,0.47,0.35000000000000003,0.7000000000000001,0.6900000000000001,0.43,0.1,0.4855,0.4855,C 低 moat
920116.BJ,星图测控,软件服务,20250102,608,405,46.98,-0.04181113603915976,-0.290332326283988,-0.5409419581786203,False,-0.6782191780821917,-0.7060273972602737,0.18908095525537183,0.8863478993925333,-0.03029228284881913,-0.11740777598945362,-0.31634504932068463,-0.17292455029453435,109.3344,17.6876,0.1728395061728395,105.08721299999999,337.24946599288893,9.824095802469136,12949.0,0.019044621074997936,13,0.7588415633246519,18.9778,-14.6212,-4.6361,-3.6656999999999997,52.7391,30.3439,27.0862,2,2.589,True,,0.9299999999999999,0.0,0.7,0.0,0.3,0.5,0.474,0.474,A 高 moat
920077.BJ,吉林碳谷,化纤,20210831,1828,889,14.28,0.007762879322512406,-0.16344463971880496,-0.2171052631578947,False,-0.7291864213919963,-0.8699032808647827,-0.28438140953824587,0.6216992181894923,0.019281732512853034,0.009479910575729389,0.007491645700041016,-0.17292455029453435,40.5197,3.1243,0.374578177727784,83.71505101,80.25794092446569,1.6866390326209224,15152.0,0.14753105119660703,15,0.5925105345585978,7.0377,36.4009,59.57515000000001,38.561749999999996,15.649,6.9139,61.0849,4,3.492,True,,0.13,0.9,0.7,0.13,0.14999999999999997,0.1,0.43700000000000006,0.43700000000000006,C 价格战赛道
920953.BJ,国子软件,软件服务,20230823,1106,734,23.9,-0.06967691708836132,-0.14490161001788915,-0.30239346176298887,True,-0.620755315772771,-0.6886702634084423,0.09927435540132556,0.8166983693253989,-0.058158063898020695,0.028022940276645203,-0.07779655290505316,-0.17292455029453435,49.292,4.9779,0.4713896457765668,30.619721610000003,98.03054944059947,10.086292506811988,6491.0,-0.21444995764250274,15,1.0544357528584438,11.6901,-27.4077,-18.5131,12.397025,56.3717,12.2478,11.4377,2,0.747,True,,0.75,0.0,0.55,0.18,0.6799999999999999,0.3,0.436,0.436,A 高 moat
920247.BJ,华密新材,橡胶,20221223,1349,889,15.85,0.06518817204301075,-0.1994949494949495,-0.3102697998259356,True,-0.5835522858644235,-0.6531791907514443,0.27667255966352333,0.866265986760408,0.07670702523335138,-0.02657039920041515,-0.0856728909679999,-0.17292455029453435,64.1208,6.2161,0.5680539932508436,29.96490034,80.8277576959955,6.724078402699663,8473.0,-0.016026013238880532,15,0.9964840350662015,9.3135,19.5019,19.252049999999997,14.260849999999998,30.422,8.9565,27.2813,4,0.719,True,,0.43,0.45,0.5,0.27,0.43,0.3,0.42650000000000005,0.42650000000000005,B 中 moat
920002.BJ,万达轴承,工程机械,20240530,825,551,53.91,-0.06178210929342154,-0.2220779220779221,-0.42125603864734307,False,-0.8231299212598426,-0.8458005249343832,-0.09624019856944055,0.9378559523638399,-0.05026325610308091,-0.049153371783387745,-0.19665912978940736,-0.17292455029453435,53.5089,4.5201,0.33030852994555354,34.34290996,144.77240276277678,12.872130127041743,7128.0,-0.07114933541829549,13,0.8794974536812722,8.855,4.4378,0.4570000000000001,6.727775,32.5106,17.5947,8.9655,3,1.443,True,,0.5,0.27,0.6499999999999999,0.0,0.53,0.3,0.4155,0.4155,B 中 moat
920261.BJ,一诺威,化工原料,20230403,1248,830,14.2,0.058911260253541986,-0.0021082220660576523,-0.10522999369880282,True,-0.21546961325966907,-0.37572815533980675,0.10146029563000325,0.47272197085134404,0.07043011344388261,0.1708163282284767,0.11936691515913289,-0.17292455029453435,19.3841,2.5371,0.4975903614457831,41.34085022,32.629355459120475,1.4983402409638558,5914.0,-0.15610730593607303,15,0.7837734553268791,11.7244,23.7215,22.860299999999995,20.01195,7.6721,3.0153,52.2448,4,1.421,True,,0.07999999999999999,0.52,0.7000000000000001,0.61,0.55,0.1,0.41500000000000004,0.41500000000000004,C 价格战赛道
920394.BJ,民士达,造纸,20230425,1226,815,46.15,-0.030462184873949694,-0.39838352235692864,-0.13235570595976687,False,-0.398383522356929,-0.4915254237288136,0.5241918482950234,0.6842950718498352,-0.018943331683609066,-0.2254589720623943,0.09224120289816884,-0.17292455029453435,55.2655,8.0245,0.8196319018404908,67.494375,85.44483098851535,4.886266380368098,5063.0,-0.23864661654135333,15,0.5342756142701163,16.6634,-8.3119,2.544025,0.11625000000000019,39.4209,24.5415,25.3508,2,2.287,True,,0.8600000000000001,0.15000000000000002,0.2,0.0,0.55,0.2,0.4005,0.4005,B 中高 moat
