ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000688.SH,2024-02-06,720.7998,675.4531,721.377,665.6321,676.7932,44.0066,6.5022,27528071.0,60143375.048
000688.SH,2024-02-07,743.4228,723.3117,744.3401,717.6979,720.7998,22.623,3.1386,30993446.0,72213965.559
000688.SH,2024-02-08,751.5036,749.639,767.8557,745.2397,743.4228,8.0808,1.087,31037561.0,72357927.083
000688.SH,2024-02-19,763.3156,762.6438,763.3583,748.287,751.5036,11.812,1.5718,27425987.0,68655866.804
000688.SH,2024-02-20,754.7015,756.0838,758.0583,748.6,763.3156,-8.6141,-1.1285,19703420.0,51408513.057
000688.SH,2024-02-21,755.1552,747.2499,769.1493,744.264,754.7015,0.4537,0.0601,22272663.0,57035201.896
000688.SH,2024-02-22,762.3821,757.2618,768.6579,755.9041,755.1552,7.2269,0.957,18435223.0,49712671.043
000688.SH,2024-02-23,764.4821,768.5093,769.8131,754.3471,762.3821,2.1,0.2755,21288172.0,57385787.606
000688.SH,2024-02-26,768.4884,764.0326,776.9841,761.2193,764.4821,4.0063,0.5241,26715672.0,69780227.231
000688.SH,2024-02-27,796.9073,763.6649,797.149,761.264,768.4884,28.4189,3.698,24214646.0,71354654.83
000688.SH,2024-02-28,771.5922,797.8251,811.6468,771.5922,796.9073,-25.3151,-3.1767,33634356.0,92170366.772
000688.SH,2024-02-29,807.707,769.5571,807.707,769.5571,771.5922,36.1148,4.6806,26053051.0,76229767.283
000688.SH,2024-03-01,815.4866,809.4005,818.1107,803.525,807.707,7.7796,0.9632,23983105.0,72454213.478
000688.SH,2024-03-04,818.5129,819.9574,822.6528,807.3873,815.4866,3.0263,0.3711,23131064.0,70764262.049
000688.SH,2024-03-05,817.7721,812.6212,824.1248,810.3196,818.5129,-0.7408,-0.0905,22349007.0,69594824.94
000688.SH,2024-03-06,811.8984,816.1445,822.7868,803.9915,817.7721,-5.8737,-0.7183,19973582.0,58780249.393
000688.SH,2024-03-07,794.2384,814.1679,817.7769,793.5926,811.8984,-17.66,-2.1751,21403310.0,60500813.735
000688.SH,2024-03-08,803.2,795.3215,805.5717,791.7342,794.2384,8.9616,1.1283,20310428.0,57902911.073
000688.SH,2024-03-11,818.4386,800.8992,818.7067,797.2616,803.2,15.2386,1.8972,22129381.0,65259225.212
000688.SH,2024-03-12,817.7503,818.5162,827.628,813.0451,818.4386,-0.6883,-0.0841,21946276.0,66674864.477
000688.SH,2024-03-13,814.9319,821.3228,824.8148,813.0911,817.7503,-2.8184,-0.3447,20803285.0,63767092.186
000688.SH,2024-03-14,804.8554,811.5135,815.547,797.7755,814.9319,-10.0765,-1.2365,21741015.0,64940754.849
000688.SH,2024-03-15,808.6736,802.9111,809.3953,794.7507,804.8554,3.8182,0.4744,19734463.0,57967231.415
000688.SH,2024-03-18,825.3998,810.3869,825.8985,809.8341,808.6736,16.7262,2.0683,23449626.0,73094396.709
000688.SH,2024-03-19,811.7743,822.1818,823.9016,811.7743,825.3998,-13.6255,-1.6508,21579360.0,68514022.866
000688.SH,2024-03-20,814.027,810.6893,815.7337,806.5752,811.7743,2.2527,0.2775,20788645.0,65322768.173
000688.SH,2024-03-21,806.1376,820.1431,824.1756,805.5456,814.027,-7.8894,-0.9692,22730548.0,74168732.024
000688.SH,2024-03-22,794.2011,804.0229,808.7094,793.1039,806.1376,-11.9365,-1.4807,22091222.0,69921210.339
000688.SH,2024-03-25,781.6464,792.8457,797.6576,781.6239,794.2011,-12.5547,-1.5808,20912655.0,66726761.099
000688.SH,2024-03-26,772.0888,781.7265,787.6022,768.6785,781.6464,-9.5576,-1.2228,18539103.0,57718127.64
000688.SH,2024-03-27,752.8206,771.5448,772.471,752.723,772.0888,-19.2682,-2.4956,17834301.0,51275159.827
000688.SH,2024-03-28,763.2749,753.8954,771.4793,753.2329,752.8206,10.4543,1.3887,18867049.0,56229248.134
000688.SH,2024-03-29,762.7416,761.6508,763.5643,751.244,763.2749,-0.5333,-0.0699,16835344.0,49138287.951
000688.SH,2024-04-01,775.5259,765.6326,776.7436,765.6326,762.7416,12.7843,1.6761,19159141.0,56986274.163
000688.SH,2024-04-02,768.7872,774.7265,774.7265,764.3214,775.5259,-6.7387,-0.8689,17626700.0,51531094.911
000688.SH,2024-04-03,756.7635,768.2135,769.2297,755.2103,768.7872,-12.0237,-1.564,17633758.0,51899249.041
000688.SH,2024-04-08,740.6653,753.8344,757.1336,740.6653,756.7635,-16.0982,-2.1272,17707814.0,48189704.352
000688.SH,2024-04-09,749.626,739.3922,749.86,736.8878,740.6653,8.9607,1.2098,15995308.0,43838312.749
000688.SH,2024-04-10,735.7336,749.2249,749.5817,732.466,749.626,-13.8924,-1.8532,16564199.0,45499390.525
000688.SH,2024-04-11,738.6744,735.6701,746.9106,735.6701,735.7336,2.9408,0.3997,16417057.0,48413927.394
000688.SH,2024-04-12,738.4294,742.9291,747.4962,738.3272,738.6744,-0.245,-0.0332,15876099.0,45358171.366
000688.SH,2024-04-15,750.8984,739.1981,755.1814,738.5364,738.4294,12.469,1.6886,21897791.0,56927703.919
000688.SH,2024-04-16,733.1469,746.8812,749.1177,732.8905,750.8984,-17.7515,-2.364,21751165.0,53091971.936
000688.SH,2024-04-17,750.8884,737.6574,751.1987,735.2116,733.1469,17.7415,2.4199,20343833.0,54149431.996
