ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,volume_ratio,turnover_rate,turnover_rate_f
688322.SH,2024-10-23,32.22,32.7,31.6,31.84,32.26,-0.42,-1.3019,66823.73,214517.091,0.85,2.5995,3.9067
688322.SH,2024-10-24,31.82,32.8,31.5,32.7,31.84,0.86,2.701,59541.83,191846.708,0.73,2.3162,3.481
688322.SH,2024-10-25,32.67,33.77,32.35,33.55,32.7,0.85,2.5994,73680.7,244170.143,0.89,2.8662,4.3076
688322.SH,2024-10-28,33.33,33.66,32.24,33.02,33.55,-0.53,-1.5797,67864.03,222844.116,0.9,2.64,3.9675
688322.SH,2024-10-29,33.5,33.55,31.92,31.93,33.02,-1.09,-3.301,64567.48,210424.331,0.93,2.5117,3.7748
688322.SH,2024-10-30,31.72,32.75,31.41,31.8,31.93,-0.13,-0.4071,43908.5,140742.572,0.66,1.7081,2.567
688322.SH,2024-10-31,31.75,32.46,31.1,32.16,31.8,0.36,1.1321,45696.58,145660.49,0.74,1.7776,2.6716
688322.SH,2024-11-01,31.8,32.2,30.65,30.79,32.16,-1.37,-4.26,52206.97,162570.338,0.88,2.0309,3.0522
688322.SH,2024-11-04,30.98,33.49,30.8,32.79,30.79,2.0,6.4956,63484.81,207951.152,1.16,2.4696,3.7115
688322.SH,2024-11-05,32.99,34.59,32.22,34.39,32.79,1.6,4.8795,81731.28,276294.856,1.51,3.1794,4.7783
688322.SH,2024-11-06,34.35,35.5,33.77,34.14,34.39,-0.25,-0.727,73107.99,252369.467,1.27,2.844,4.2741
688322.SH,2024-11-07,34.0,34.26,33.0,33.6,34.14,-0.54,-1.5817,50040.68,167588.46,0.79,1.9466,2.9255
688322.SH,2024-11-08,33.99,34.8,33.4,33.59,33.6,-0.01,-0.0298,44849.01,152862.754,0.7,1.7447,2.622
688322.SH,2024-11-11,33.59,36.22,33.33,35.81,33.59,2.22,6.6091,83996.99,296711.766,1.34,3.2675,4.9107
688322.SH,2024-11-12,37.68,37.98,35.2,35.55,35.81,-0.26,-0.7261,95455.0,350094.357,1.43,3.7133,5.5806
688322.SH,2024-11-13,34.67,36.23,34.4,35.99,35.55,0.44,1.2377,57056.25,200921.637,0.82,2.2195,3.3357
688322.SH,2024-11-14,35.77,36.0,33.88,34.0,35.99,-1.99,-5.5293,59603.53,207487.789,0.9,2.3186,3.4846
688322.SH,2024-11-15,34.08,34.24,31.99,32.01,34.0,-1.99,-5.8529,59162.65,195768.675,0.87,2.3015,3.4588
688322.SH,2024-11-18,32.4,32.4,30.4,30.74,32.01,-1.27,-3.9675,62080.02,194324.868,0.87,2.415,3.6294
688322.SH,2024-11-19,30.9,32.46,30.85,32.24,30.74,1.5,4.8796,50586.42,160044.106,0.76,1.9678,2.9574
688322.SH,2024-11-20,32.0,36.3,32.0,35.03,32.24,2.79,8.6538,96107.65,330424.179,1.67,3.7387,5.6187
688322.SH,2024-11-21,34.8,35.18,34.09,34.94,35.03,-0.09,-0.2569,60646.33,210347.48,0.93,2.3592,3.5456
688322.SH,2024-11-22,34.94,35.45,32.76,32.83,34.94,-2.11,-6.0389,59663.84,204716.407,0.91,2.321,3.4881
688322.SH,2024-11-25,33.37,33.37,31.93,33.29,32.83,0.46,1.4012,46851.61,153064.17,0.71,1.8226,2.7391
688322.SH,2024-11-26,33.44,33.44,31.51,31.57,33.29,-1.72,-5.1667,51831.49,167141.309,0.83,2.0163,3.0302
688322.SH,2024-11-27,31.86,32.2,30.77,32.16,31.57,0.59,1.8689,58591.42,182947.981,0.93,2.2792,3.4254
688322.SH,2024-11-28,32.1,32.57,31.4,31.8,32.16,-0.36,-1.1194,43213.34,137858.323,0.78,1.681,2.5264
688322.SH,2024-11-29,29.88,32.55,29.62,31.7,31.8,-0.1,-0.3145,109718.61,339481.155,2.11,4.2681,6.4145
688322.SH,2024-12-02,32.38,34.65,32.2,33.7,31.7,2.0,6.3091,90623.79,304562.169,1.46,3.5253,5.2981
688322.SH,2024-12-03,33.35,35.88,33.3,35.19,33.7,1.49,4.4214,114654.67,399376.416,1.62,4.4601,6.7031
688322.SH,2024-12-04,34.78,36.0,34.22,34.66,35.19,-0.53,-1.5061,99865.22,350400.091,1.2,3.8848,5.8384
688322.SH,2024-12-05,37.0,39.86,36.97,37.67,34.66,3.01,8.6844,195208.21,744938.325,2.13,7.5937,11.4124
688322.SH,2024-12-06,38.2,39.06,35.81,38.38,37.67,0.71,1.8848,171389.11,645561.829,1.4,6.6672,10.0199
688322.SH,2024-12-09,38.0,39.48,37.39,37.58,38.38,-0.8,-2.0844,139959.62,534599.864,1.04,5.4445,8.1825
688322.SH,2024-12-10,38.83,40.98,37.92,39.46,37.58,1.88,5.0027,206304.9,820834.741,1.43,8.0254,12.0612
688322.SH,2024-12-11,39.03,40.28,36.98,39.81,39.46,0.35,0.887,153552.06,592981.062,0.94,5.9733,8.9771
688322.SH,2024-12-12,39.0,39.79,37.88,38.23,39.81,-1.58,-3.9689,93720.95,360566.753,0.54,3.6458,5.4792
688322.SH,2024-12-13,38.55,39.22,37.0,37.2,38.23,-1.03,-2.6942,95823.74,364022.602,0.63,3.7276,5.6021
688322.SH,2024-12-16,36.81,37.7,36.17,36.91,37.2,-0.29,-0.7796,71463.96,264050.488,0.52,2.78,4.178
688322.SH,2024-12-17,36.81,37.91,35.87,36.08,36.91,-0.83,-2.2487,85361.45,312190.821,0.69,3.3206,4.9905
688322.SH,2024-12-18,36.12,42.3,36.12,41.58,36.08,5.5,15.2439,204377.05,816597.457,2.04,7.9504,11.9485
688322.SH,2024-12-19,41.3,42.65,41.17,42.0,41.58,0.42,1.0101,138241.48,579211.721,1.26,5.3777,8.082
688322.SH,2024-12-20,41.79,45.1,41.56,43.32,42.0,1.32,3.1429,150425.52,653241.122,1.26,5.8517,8.7943
688322.SH,2024-12-23,42.91,44.42,42.1,43.0,43.32,-0.32,-0.7387,123265.68,533525.075,0.95,4.7951,7.2065
688322.SH,2024-12-24,46.8,47.95,43.5,44.4,43.0,1.4,3.2558,140310.07,632315.33,1.0,5.4582,8.2029
688322.SH,2024-12-25,44.2,49.7,44.01,47.17,44.4,2.77,6.2387,180288.61,849611.054,1.19,7.0134,10.5402
688322.SH,2024-12-26,46.1,50.5,45.2,49.97,47.17,2.8,5.936,167776.71,813481.073,1.15,6.5266,9.8087
688322.SH,2024-12-27,49.12,50.09,46.84,47.33,49.97,-2.64,-5.2832,135368.91,654858.569,0.89,5.2659,7.9141
688322.SH,2024-12-30,47.0,50.03,45.5,47.99,47.33,0.66,1.3945,102661.73,494022.894,0.69,3.9936,6.0019
688322.SH,2024-12-31,48.48,50.28,46.4,46.5,47.99,-1.49,-3.1048,103228.84,496870.801,0.71,4.0157,6.0351
688322.SH,2025-01-02,46.12,47.71,44.76,45.3,46.5,-1.2,-2.5806,96691.85,445284.323,0.7,3.7614,5.6529
688322.SH,2025-01-03,45.05,45.43,42.0,42.4,45.3,-2.9,-6.4018,101466.9,439622.082,0.84,3.9471,5.9321
688322.SH,2025-01-06,42.78,42.92,40.8,41.41,42.4,-0.99,-2.3349,70726.92,294370.561,0.66,2.7513,4.1349
688322.SH,2025-01-07,41.6,43.89,41.3,43.63,41.41,2.22,5.361,80503.03,344020.034,0.85,3.1316,4.7064
688322.SH,2025-01-08,43.2,49.48,42.7,46.97,43.63,3.34,7.6553,146890.71,666991.142,1.62,5.7142,8.5877
688322.SH,2025-01-09,46.12,48.41,46.05,47.41,46.97,0.44,0.9368,110111.69,519169.584,1.11,4.2834,6.4375
688322.SH,2025-01-10,47.0,52.8,46.79,49.81,47.41,2.4,5.0622,168577.08,855468.475,1.65,6.5578,9.8555
688322.SH,2025-01-13,48.65,52.5,48.28,50.11,49.81,0.3,0.6023,138241.01,694969.067,1.2,5.3777,8.082
688322.SH,2025-01-14,49.61,52.62,48.5,51.0,50.11,0.89,1.7761,172675.2,878676.508,1.34,6.7172,10.0951
688322.SH,2025-01-15,50.95,50.95,47.58,48.85,51.0,-2.15,-4.2157,151969.52,737199.366,1.03,5.9117,8.8846
688322.SH,2025-01-16,48.83,49.26,47.68,48.3,48.85,-0.55,-1.1259,93963.39,454738.025,0.63,3.6552,5.4934
688322.SH,2025-01-17,48.18,51.0,48.1,49.0,48.3,0.7,1.4493,103002.52,509187.354,0.71,4.0069,6.0218
688322.SH,2025-01-20,49.65,49.78,47.28,47.92,49.0,-1.08,-2.2041,88901.06,428922.444,0.67,3.4583,5.1974
688322.SH,2025-01-21,49.06,52.55,48.6,52.47,47.92,4.55,9.495,165092.79,837909.84,1.35,6.4222,9.6518
688322.SH,2025-01-22,51.45,52.29,50.5,51.18,52.47,-1.29,-2.4585,84526.48,433070.123,0.7,3.2881,4.9417
688322.SH,2025-01-23,52.3,53.86,50.38,51.4,51.18,0.22,0.4299,140814.87,734681.348,1.31,5.4778,8.2325
688322.SH,2025-01-24,51.11,55.14,50.8,54.99,51.4,3.59,6.9844,179127.48,960735.847,1.54,6.9682,10.4723
688322.SH,2025-01-27,53.99,54.45,50.52,52.18,54.99,-2.81,-5.11,102081.81,532531.33,0.78,3.9711,5.968
688322.SH,2025-02-05,52.23,56.33,51.68,55.16,52.18,2.98,5.711,124120.99,679670.509,0.92,4.8284,7.2565
688322.SH,2025-02-06,54.05,58.42,54.05,56.67,55.16,1.51,2.7375,148314.17,839429.215,1.18,5.7695,8.6709
688322.SH,2025-02-07,56.0,60.44,55.39,60.0,56.67,3.33,5.8761,158281.53,924200.924,1.14,6.1573,9.2536
688322.SH,2025-02-10,59.0,60.95,57.6,59.1,60.0,-0.9,-1.5,126887.0,748206.017,0.89,4.936,7.3827
688322.SH,2025-02-11,58.59,63.83,58.3,61.52,59.1,2.42,4.0948,155574.45,958849.398,1.18,6.052,9.0518
688322.SH,2025-02-12,60.2,62.9,57.51,59.08,61.52,-2.44,-3.9662,164626.82,990416.685,1.15,6.4041,9.5785
688322.SH,2025-02-13,59.2,59.88,56.26,57.23,59.08,-1.85,-3.1313,118237.9,683406.88,0.78,4.5995,6.8795
688322.SH,2025-02-14,56.5,57.59,55.52,56.29,57.23,-0.94,-1.6425,135783.41,765615.235,0.94,5.2821,7.9003
688322.SH,2025-02-17,56.66,57.49,55.1,57.0,56.29,0.71,1.2613,183892.31,1035362.114,1.31,7.1535,10.6995
688322.SH,2025-02-18,57.21,59.5,56.07,57.91,57.0,0.91,1.5965,166304.3,959938.946,1.1,6.4694,9.6761
688322.SH,2025-02-19,57.48,69.49,57.48,68.1,57.91,10.19,17.5963,272002.13,1759087.851,1.77,10.5811,15.826
688322.SH,2025-02-20,67.1,75.5,64.56,69.7,68.1,1.6,2.3495,260745.86,1803129.11,1.49,10.1432,15.1711
688322.SH,2025-02-21,68.7,71.0,67.29,70.5,69.7,0.8,1.1478,184667.94,1269459.2,0.91,7.1837,10.7446
688322.SH,2025-02-24,70.0,75.49,66.1,71.58,70.5,1.08,1.5319,191541.45,1356744.839,0.9,7.4511,11.1445
688322.SH,2025-02-25,68.94,73.75,68.54,69.83,71.58,-1.75,-2.4448,149977.85,1068457.922,0.7,5.8342,8.7262
688322.SH,2025-02-26,70.54,74.76,69.53,69.8,69.83,-0.03,-0.043,186676.97,1348813.813,0.88,7.2619,10.8615
688322.SH,2025-02-27,68.6,72.08,67.7,70.63,69.8,0.83,1.1891,169021.55,1184409.828,0.87,6.5751,9.8342
688322.SH,2025-02-28,70.0,71.8,65.38,65.96,70.63,-4.67,-6.6119,160910.63,1075300.473,0.91,6.2595,9.3623
688322.SH,2025-03-03,66.0,67.76,63.84,65.81,65.96,-0.15,-0.2274,112309.92,742595.842,0.65,4.3689,6.5346
688322.SH,2025-03-04,65.4,72.3,65.4,69.99,65.81,4.18,6.3516,164142.75,1148392.209,1.05,6.3853,9.5504
688322.SH,2025-03-05,69.0,72.0,68.68,70.85,69.99,0.86,1.2287,125791.9,885910.828,0.79,4.8934,7.319
688322.SH,2025-03-06,72.22,75.49,71.37,72.4,70.85,1.55,2.1877,161678.37,1182656.835,1.1,6.2894,9.407
688322.SH,2025-03-07,71.27,73.8,70.0,70.46,72.4,-1.94,-2.6796,120706.63,860973.546,0.83,4.6956,7.0231
688322.SH,2025-03-10,71.55,72.92,69.0,69.13,70.46,-1.33,-1.8876,121024.21,854756.51,0.88,4.7079,7.0416
688322.SH,2025-03-11,67.35,69.67,66.83,68.1,69.13,-1.03,-1.4899,115849.44,787898.601,0.84,4.5066,6.2252
688322.SH,2025-03-12,69.66,72.48,68.0,68.0,68.1,-0.1,-0.1468,146613.44,1031974.056,1.14,5.7034,7.8784
688322.SH,2025-03-13,68.02,68.47,59.95,61.11,68.0,-6.89,-10.1324,227872.89,1434795.117,1.71,8.8644,12.2449
688322.SH,2025-03-14,61.0,63.9,60.15,62.9,61.11,1.79,2.9291,167329.5,1035214.659,1.14,6.5092,8.9915
688322.SH,2025-03-17,62.88,64.76,61.57,63.88,62.9,0.98,1.558,106202.41,674202.334,0.68,4.1313,5.5868
688322.SH,2025-03-18,63.9,64.89,63.4,63.83,63.88,-0.05,-0.0783,89091.3,571032.467,0.58,3.4657,4.6866
688322.SH,2025-03-19,63.83,64.47,62.3,63.58,63.83,-0.25,-0.3917,75366.36,477996.557,0.51,2.9318,3.9646
688322.SH,2025-03-20,63.69,64.72,61.57,62.0,63.58,-1.58,-2.4851,96983.68,612871.509,0.73,3.7727,5.1018
688322.SH,2025-03-21,60.7,60.99,58.0,58.3,62.0,-3.7,-5.9677,140866.79,832039.176,1.32,5.4798,7.4103
688322.SH,2025-03-24,58.9,59.85,57.9,59.42,58.3,1.12,1.9211,85833.92,505544.71,0.84,3.339,4.441
688322.SH,2025-03-25,59.3,60.78,57.52,57.67,59.42,-1.75,-2.9451,72228.67,425911.234,0.74,2.8097,3.7371
688322.SH,2025-03-26,57.79,59.29,56.4,56.68,57.67,-0.99,-1.7167,105885.1,610827.315,1.12,4.119,5.4785
688322.SH,2025-03-27,56.27,58.05,55.79,57.01,56.68,0.33,0.5822,74680.17,425902.938,0.74,2.9051,3.8639
688322.SH,2025-03-28,56.5,57.36,55.78,55.81,57.01,-1.2,-2.1049,49695.88,280119.946,0.52,1.9332,2.5713
688322.SH,2025-03-31,55.0,55.67,53.2,55.35,55.81,-0.46,-0.8242,89928.48,487009.815,1.16,3.4983,4.6529
688322.SH,2025-04-01,56.5,56.98,54.55,55.07,55.35,-0.28,-0.5059,52969.46,293363.393,0.67,2.0605,2.7406
688322.SH,2025-04-02,54.98,56.4,54.75,55.7,55.07,0.63,1.144,50934.09,284060.893,0.68,1.9814,2.6353
688322.SH,2025-04-03,55.12,56.37,53.4,53.97,55.7,-1.73,-3.1059,60802.98,332129.539,0.96,2.3653,3.1459
688322.SH,2025-04-07,48.88,50.73,43.18,43.18,53.97,-10.79,-19.9926,136856.86,632954.975,2.25,5.3238,7.081
688322.SH,2025-04-08,43.31,45.96,43.31,44.65,43.18,1.47,3.4044,123695.42,551566.429,1.58,4.8118,6.4
688322.SH,2025-04-09,43.85,46.97,41.53,46.53,44.65,1.88,4.2105,125055.84,565859.744,1.47,4.8648,6.4704
688322.SH,2025-04-10,50.0,51.55,48.5,49.32,46.53,2.79,5.9961,136515.55,683949.376,1.37,5.3106,7.0633
688322.SH,2025-04-11,49.01,52.87,48.99,51.92,49.32,2.6,5.2717,105150.04,537608.111,0.9,4.0904,5.4405
688322.SH,2025-04-14,52.99,54.48,52.15,53.67,51.92,1.75,3.3706,111365.45,596040.076,0.89,4.3322,5.762
688322.SH,2025-04-15,53.6,54.8,52.83,53.44,53.67,-0.23,-0.4285,72525.78,389734.668,0.6,2.8213,3.7525
688322.SH,2025-04-16,53.42,53.43,51.37,52.38,53.44,-1.06,-1.9835,60319.92,315982.375,0.55,2.3465,3.1209
688322.SH,2025-04-17,51.98,53.18,51.4,51.46,52.38,-0.92,-1.7564,54685.97,285165.423,0.56,2.1273,2.8294
688322.SH,2025-04-18,51.46,54.3,50.93,52.72,51.46,1.26,2.4485,73436.63,385263.702,0.91,2.8567,3.7996
688322.SH,2025-04-21,53.68,58.99,53.68,58.61,52.72,5.89,11.1722,158786.54,892463.223,2.13,6.1769,8.2156
688322.SH,2025-04-22,58.61,61.33,57.76,59.35,58.61,0.74,1.2626,125115.15,744146.289,1.49,4.8671,6.6598
688322.SH,2025-04-23,60.09,63.5,59.4,62.5,59.35,3.15,5.3075,131844.53,815036.144,1.4,5.1288,7.0181
688322.SH,2025-04-24,62.16,63.98,61.42,62.8,62.5,0.3,0.48,94069.62,589188.453,0.86,3.6594,5.0073
688322.SH,2025-04-25,62.68,62.99,61.52,61.86,62.8,-0.94,-1.4968,86795.81,539731.032,0.74,3.3764,4.6201
688322.SH,2025-04-28,61.25,62.2,60.0,60.33,61.86,-1.53,-2.4733,85065.19,516486.531,0.71,3.3091,4.528
688322.SH,2025-04-29,58.49,60.5,55.7,59.98,60.33,-0.35,-0.5801,129480.43,752367.047,1.24,5.0369,6.8922
688322.SH,2025-04-30,59.58,60.66,58.6,59.26,59.98,-0.72,-1.2004,101964.81,608891.82,0.97,3.9665,5.2757
688322.SH,2025-05-06,60.66,60.93,59.3,59.73,59.26,0.47,0.7931,90429.86,542412.813,0.91,3.5178,4.6788
688322.SH,2025-05-07,60.66,62.3,57.6,58.77,59.73,-0.96,-1.6072,119369.96,715319.57,1.21,4.6436,6.1762
688322.SH,2025-05-08,58.37,60.28,58.37,59.39,58.77,0.62,1.055,79610.49,472552.489,0.76,3.0969,4.119
688322.SH,2025-05-09,59.06,59.34,56.8,57.77,59.39,-1.62,-2.7277,69619.57,401882.482,0.67,2.7082,3.6021
688322.SH,2025-05-12,58.68,59.67,57.82,59.28,57.77,1.51,2.6138,85971.35,506593.483,0.93,3.3443,4.4482
688322.SH,2025-05-13,60.66,61.08,57.68,57.9,59.28,-1.38,-2.3279,81499.46,478690.121,0.92,3.1704,4.2168
688322.SH,2025-05-14,57.98,58.5,56.36,57.48,57.9,-0.42,-0.7254,76598.95,440380.701,0.88,2.9798,3.9632
688322.SH,2025-05-15,57.27,57.6,56.08,56.38,57.48,-1.1,-1.9137,58253.97,329476.797,0.74,2.2661,3.0141
688322.SH,2025-05-16,56.4,57.38,56.01,56.05,56.38,-0.33,-0.5853,59925.35,339482.635,0.81,2.3311,3.1005
688322.SH,2025-05-19,55.77,56.16,53.8,54.13,56.05,-1.92,-3.4255,72015.79,391946.125,0.99,2.8015,3.7261
688322.SH,2025-05-20,53.97,54.92,53.65,54.07,54.13,-0.06,-0.1108,51137.35,277768.472,0.73,1.9893,2.6458
688322.SH,2025-05-21,53.8,56.54,53.35,55.55,54.07,1.48,2.7372,102386.73,562483.406,1.61,3.9829,5.2975
688322.SH,2025-05-22,55.02,55.83,54.38,54.5,55.55,-1.05,-1.8902,64345.47,353835.758,0.94,2.5031,3.3292
688322.SH,2025-05-23,54.4,56.54,54.4,55.34,54.5,0.84,1.5413,99770.53,555716.893,1.43,3.8811,5.1621
688322.SH,2025-05-26,54.81,55.55,53.63,54.14,55.34,-1.2,-2.1684,61096.88,330663.558,0.78,2.3767,3.1611
688322.SH,2025-05-27,54.4,54.5,52.58,52.93,54.14,-1.21,-2.2349,46648.67,248196.181,0.62,1.8147,2.4136
688322.SH,2025-05-28,53.2,53.6,52.06,53.0,52.93,0.07,0.1323,42477.05,224625.862,0.57,1.6524,2.1978
688322.SH,2025-05-29,52.96,53.54,52.52,52.62,53.0,-0.38,-0.717,57152.66,302672.206,0.91,2.2233,2.9571
688322.SH,2025-05-30,52.45,52.45,51.34,51.68,52.62,-0.94,-1.7864,44437.83,229909.966,0.72,1.7287,2.2992
688322.SH,2025-06-03,51.67,52.32,50.78,50.89,51.68,-0.79,-1.5286,48022.24,247037.21,0.95,1.8681,2.4847
688322.SH,2025-06-04,50.75,51.64,50.3,51.11,50.89,0.22,0.4323,42352.39,216568.239,0.89,1.6475,2.1913
688322.SH,2025-06-05,50.92,53.08,50.53,52.73,51.11,1.62,3.1696,87464.08,456199.963,1.87,3.4024,4.5254
688322.SH,2025-06-06,52.38,53.38,52.11,52.83,52.73,0.1,0.1896,54705.62,288471.47,0.98,2.1281,2.8305
688322.SH,2025-06-09,52.83,53.55,52.14,52.29,52.83,-0.54,-1.0221,54150.75,285704.501,0.98,2.1065,2.8018
688322.SH,2025-06-10,52.5,52.75,50.0,51.45,52.29,-0.84,-1.6064,54669.0,280661.766,0.95,2.1267,2.8286
688322.SH,2025-06-11,51.6,51.93,51.0,51.01,51.45,-0.44,-0.8552,34335.61,176572.232,0.59,1.3357,1.7765
688322.SH,2025-06-12,50.86,51.88,50.4,51.27,51.01,0.26,0.5097,38886.78,199654.543,0.68,1.5127,2.012
