ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20240603,3078.4887,3085.9814,3097.2043,3061.2766,3086.8134,-8.3247,-0.2697,357563362.0,367608352.5
000001.SH,20240604,3091.1992,3071.3196,3095.3221,3063.5879,3078.4887,12.7105,0.4129,309287598.0,325589691.9
000001.SH,20240605,3065.4034,3086.0509,3092.3459,3064.7359,3091.1992,-25.7958,-0.8345,290542344.0,299722764.4
000001.SH,20240606,3048.7939,3069.4393,3077.6725,3040.8295,3065.4034,-16.6095,-0.5418,369867104.0,371317019.0
000001.SH,20240607,3051.2787,3053.9153,3065.0247,3031.0443,3048.7939,2.4848,0.0815,316342484.0,318911097.5
000001.SH,20240611,3028.0451,3042.1338,3043.1997,3013.8611,3051.2787,-23.2336,-0.7614,310481942.0,332683377.8
000001.SH,20240612,3037.4675,3025.2963,3042.0423,3021.3085,3028.0451,9.4224,0.3112,279452106.0,312058601.5
000001.SH,20240613,3028.9187,3038.0859,3040.4021,3022.8224,3037.4675,-8.5488,-0.2814,297862463.0,336871037.1
000001.SH,20240614,3032.6333,3020.9588,3037.9046,3011.5773,3028.9187,3.7146,0.1226,348746753.0,396194698.3
000001.SH,20240617,3015.8907,3017.7169,3026.6242,3012.0452,3032.6333,-16.7426,-0.5521,295763448.0,338146875.6
000001.SH,20240618,3030.2464,3015.0713,3031.9758,3012.5234,3015.8907,14.3557,0.476,273625999.0,317319995.7
000001.SH,20240619,3018.0491,3029.0993,3030.2259,3015.3263,3030.2464,-12.1973,-0.4025,261296248.0,300290286.7
000001.SH,20240620,3005.4369,3015.7224,3028.5143,3001.7677,3018.0491,-12.6122,-0.4179,295515907.0,324101266.4
000001.SH,20240621,2998.1377,2998.2413,3011.9141,2985.9291,3005.4369,-7.2992,-0.2429,255001251.0,280275384.8
000001.SH,20240624,2963.0989,2982.8263,2990.6429,2960.1267,2998.1377,-35.0388,-1.1687,298653884.0,318595817.7
000001.SH,20240625,2949.9963,2962.7654,2971.6534,2935.5382,2963.0989,-13.1026,-0.4422,273209938.0,296569297.3
000001.SH,20240626,2972.5251,2943.4471,2976.669,2933.3304,2949.9963,22.5288,0.7637,282388409.0,276215175.5
000001.SH,20240627,2945.8524,2962.6964,2963.0644,2944.8979,2972.5251,-26.6727,-0.8973,270548519.0,266670979.4
000001.SH,20240628,2967.4028,2940.3032,2985.4679,2939.984,2945.8524,21.5504,0.7316,315201432.0,313347004.2
000001.SH,20240701,2994.7303,2965.2452,2996.4086,2961.8556,2967.4028,27.3275,0.9209,297782235.0,294321888.8
000001.SH,20240702,2997.0111,2992.8556,3004.987,2989.4701,2994.7303,2.2808,0.0762,281364683.0,282559369.5
000001.SH,20240703,2982.3756,2995.6642,2998.5369,2978.0686,2997.0111,-14.6355,-0.4883,246284642.0,257840296.8
000001.SH,20240704,2957.567,2984.8303,2995.5695,2955.2895,2982.3756,-24.8086,-0.8318,274268789.0,259006711.0
000001.SH,20240705,2949.9333,2954.3723,2957.1069,2920.2046,2957.567,-7.6337,-0.2581,272324556.0,271508929.4
000001.SH,20240708,2922.4498,2939.8367,2947.61,2917.2322,2949.9333,-27.4835,-0.9317,277533424.0,270872022.9
000001.SH,20240709,2959.3724,2919.5729,2963.7822,2904.0389,2922.4498,36.9226,1.2634,315062031.0,320361092.8
000001.SH,20240710,2939.3636,2949.0261,2958.8594,2935.3304,2959.3724,-20.0088,-0.6761,301549456.0,306035255.4
000001.SH,20240711,2970.3874,2957.2502,2971.3608,2947.4027,2939.3636,31.0238,1.0555,328372424.0,337653177.1
000001.SH,20240712,2971.295,2965.6121,2977.1417,2963.3033,2970.3874,0.9076,0.0306,303713014.0,302581576.0
000001.SH,20240715,2974.0107,2963.8472,2977.3126,2959.1288,2971.295,2.7157,0.0914,268992597.0,268733339.5
000001.SH,20240716,2976.3043,2963.9001,2977.3613,2959.6655,2974.0107,2.2936,0.0771,260783630.0,279121370.5
000001.SH,20240717,2962.8549,2970.8081,2972.7949,2957.948,2976.3043,-13.4494,-0.4519,282307991.0,305469106.0
000001.SH,20240718,2977.1334,2951.1434,2978.0919,2937.9045,2962.8549,14.2785,0.4819,278022665.0,301283750.6
000001.SH,20240719,2982.3086,2963.5144,2986.2425,2955.1199,2977.1334,5.1752,0.1738,280932413.0,319112460.5
000001.SH,20240722,2964.2155,2978.1932,2978.6007,2946.5608,2982.3086,-18.0931,-0.6067,278749559.0,316415459.9
000001.SH,20240723,2915.3685,2960.5004,2960.5004,2915.3682,2964.2155,-48.847,-1.6479,296295994.0,307194049.9
000001.SH,20240724,2901.9518,2909.1521,2922.0298,2894.2885,2915.3685,-13.4167,-0.4602,306118853.0,288660361.6
000001.SH,20240725,2886.7416,2891.8918,2897.7674,2872.8497,2901.9518,-15.2102,-0.5241,274639500.0,273281622.5
000001.SH,20240726,2890.8973,2885.9953,2899.1162,2875.3959,2886.7416,4.1557,0.144,278387536.0,275443435.0
000001.SH,20240729,2891.8453,2889.4726,2898.9512,2878.5825,2890.8973,0.948,0.0328,256899727.0,260094898.4
000001.SH,20240730,2879.2996,2885.2152,2885.2152,2865.1493,2891.8453,-12.5457,-0.4338,262478837.0,269477482.6
000001.SH,20240731,2938.7493,2877.5409,2940.5927,2876.3009,2879.2996,59.4497,2.0647,412723417.0,418871723.4
